resourceId,resourceName,resourceType,observationText,observationType,observationPhase,observationTime,observationTimeUnits,doi,resourceId_reference
00f8dcc6-a2b2-4fc2-a327-e87367bffa21,NF1C-FiPS-SV4F7,['Cell Line'],The NF1C-FiPS-SV4F7 cell line is an edited NF1(-/-) FiPS Ctrl1-SV4F-7 line generated in the study and deposited at the Spanish National Stem Cell bank under that name.,['Cell line identity'],NA,NA,NA,https://www.doi.org/10.1016/j.celrep.2022.110385,00f8dcc6-a2b2-4fc2-a327-e87367bffa21
0128a62c-13f8-485e-802d-c4c3e1ef7905,SK-MEL-239,['Cell Line'],The SK-MEL-239 cell line harbors the BRAF(V600E) mutation.,['Genomics'],NA,NA,NA,https://www.doi.org/10.1158/0008-5472.CAN-13-2625,0128a62c-13f8-485e-802d-c4c3e1ef7905
02aba952-5860-4bd9-bfb2-ff796b22bf48,Nf1 heterozygous mutant minipig,['Animal Model'],"The Nf1 heterozygous mutant minipigs developed cafe au lait macules (CALMs) from birth, one of the most common phenotypes in NF1 patients.",['Skin abnormalities'],prenatal,NA,NA,https://doi.org/10.1038/s42003-018-0163-y,02aba952-5860-4bd9-bfb2-ff796b22bf48
02aba952-5860-4bd9-bfb2-ff796b22bf48,Nf1 heterozygous mutant minipig,['Animal Model'],"A subset of the Nf1 heterozygous mutant minipigs developed neurofibromas around 4 months of age, corresponding to puberty.",['Tumor incidence'],juvenile,4,months,https://doi.org/10.1038/s42003-018-0163-y,02aba952-5860-4bd9-bfb2-ff796b22bf48
02aba952-5860-4bd9-bfb2-ff796b22bf48,Nf1 heterozygous mutant minipig,['Animal Model'],"One out of seven Nf1 heterozygous mutant minipigs developed optic pathway glioma (OPG), exhibiting a mass involving the optic chiasm.","['Tumor incidence', 'Neurological symptoms']",NA,NA,NA,https://doi.org/10.1038/s42003-018-0163-y,02aba952-5860-4bd9-bfb2-ff796b22bf48
02aba952-5860-4bd9-bfb2-ff796b22bf48,Nf1 heterozygous mutant minipig,['Animal Model'],"Melanocytes and Schwann cells from the Nf1 heterozygous mutant minipigs underwent spontaneous loss of heterozygosity (LOH), a critical step in disease progression also observed in NF1 patients.",['Genetics'],NA,NA,NA,https://doi.org/10.1038/s42003-018-0163-y,02aba952-5860-4bd9-bfb2-ff796b22bf48
02aba952-5860-4bd9-bfb2-ff796b22bf48,Nf1 heterozygous mutant minipig,['Animal Model'],"The Nf1 heterozygous mutant minipigs exhibited variable expression of NF1 phenotypes, with the size and number of cafe au lait macules (CALMs) varying greatly between animals.","['Phenotypic variability', 'Skin abnormalities']",NA,NA,NA,https://doi.org/10.1038/s42003-018-0163-y,02aba952-5860-4bd9-bfb2-ff796b22bf48
02aba952-5860-4bd9-bfb2-ff796b22bf48,Nf1 heterozygous mutant minipig,['Animal Model'],"The Nf1 heterozygous mutant minipigs reached puberty at around 5-6 months of age, similar to the timing of neurofibroma development in human NF1 patients.",['Developmental milestone'],juvenile,5,months,https://doi.org/10.1038/s42003-018-0163-y,02aba952-5860-4bd9-bfb2-ff796b22bf48
02aba952-5860-4bd9-bfb2-ff796b22bf48,Nf1 heterozygous mutant minipig,['Animal Model'],"The Nf1 heterozygous mutant minipigs exhibited a lifespan of up to 15 years, allowing for longitudinal studies of NF1 disease features in both pediatric and adult populations.",['Lifespan'],NA,NA,NA,https://doi.org/10.1038/s42003-018-0163-y,02aba952-5860-4bd9-bfb2-ff796b22bf48
02aba952-5860-4bd9-bfb2-ff796b22bf48,Nf1 heterozygous mutant minipig,['Animal Model'],"The Nf1 heterozygous mutant minipigs were dosed orally with a small-molecule inhibitor currently in clinical development for NF1, which led to a targeted reduction in Ras signaling.",['Pharmacological response'],NA,NA,NA,https://doi.org/10.1038/s42003-018-0163-y,02aba952-5860-4bd9-bfb2-ff796b22bf48
02aba952-5860-4bd9-bfb2-ff796b22bf48,Nf1 heterozygous mutant minipig,['Animal Model'],"The Nf1 heterozygous mutant minipigs grew to a size of 180-220 pounds, roughly the size of an adult human, making them suitable for advanced imaging studies on human-sized instruments.",['Body size'],adult,NA,NA,https://doi.org/10.1038/s42003-018-0163-y,02aba952-5860-4bd9-bfb2-ff796b22bf48
02aba952-5860-4bd9-bfb2-ff796b22bf48,Nf1 heterozygous mutant minipig,['Animal Model'],"The Nf1 heterozygous mutant minipigs exhibited germ line transmission of the mutant NF1 allele with Mendelian frequency, with no evidence of reduced fitness compared to wild-type littermates.","['Genetics', 'Reproductive fitness']",NA,NA,NA,https://doi.org/10.1038/s42003-018-0163-y,02aba952-5860-4bd9-bfb2-ff796b22bf48
033b7173-4c58-410e-b441-579ba05c388a,NF1flox4/Arg681*;Dhh-Cre,['Animal Model'],"The NF1flox4/Arg681*;Dhh-Cre mice develop neurofibromas along the spinal column, with disrupted axon myelination and collagen deposits observed in the tumor ultrastructure.","['Tumor incidence', 'Histology']",NA,NA,NA,https://doi.org/10.1242/dmm.025783,033b7173-4c58-410e-b441-579ba05c388a
033b7173-4c58-410e-b441-579ba05c388a,NF1flox4/Arg681*;Dhh-Cre,['Animal Model'],"The NF1flox4/Arg681*;Dhh-Cre mice exhibit robust biallelic inactivation of Nf1 in primitive glial precursor cells during early embryogenesis (~E12.5), resulting in diffuse and rapidly growing plexiform neurofibromas.","['Genetics', 'Tumor growth']",prenatal,12.5,days,https://doi.org/10.1002/pbc.25763,033b7173-4c58-410e-b441-579ba05c388a
033b7173-4c58-410e-b441-579ba05c388a,NF1flox4/Arg681*;Dhh-Cre,['Animal Model'],"The NF1flox4/Arg681*;Dhh-Cre mice have a greatly reduced lifespan, with all mice requiring sacrifice by 13 months due to paralysis, lethargy, weight loss and dehydration correlated with extensive tumor formation in peripheral and cranial nerve trunks and roots.","['Lifespan', 'Neurological symptoms', 'Tumor burden']",adult,13,months,https://doi.org/10.1016/j.ccr.2007.12.027,033b7173-4c58-410e-b441-579ba05c388a
033b7173-4c58-410e-b441-579ba05c388a,NF1flox4/Arg681*;Dhh-Cre,['Animal Model'],The NF1flox4/Arg681*;Dhh-Cre mice exhibit a 30-50% recombination efficiency of the Nf1 gene in primitive glial precursor cells when Cre is expressed under the Dhh promoter.,['Genetics'],prenatal,12.5,days,https://doi.org/10.1016/j.ccr.2007.12.027,033b7173-4c58-410e-b441-579ba05c388a
033b7173-4c58-410e-b441-579ba05c388a,NF1flox4/Arg681*;Dhh-Cre,['Animal Model'],"Cre-mediated recombination in the NF1flox4 allele results in a premature stop codon at amino acid position 681 (p.Arg681*), leading to a truncated neurofibromin protein.","['Genetics', 'Protein structure']",NA,NA,NA,https://doi.org/10.1242/dmm.025783,033b7173-4c58-410e-b441-579ba05c388a
0361ea84-13bb-4f90-8f24-bbd01a81801e,SMBCi003-B,['Cell Line'],"The SMBCi003-B cell line is an induced pluripotent stem cell (iPSC) line derived from a 21-year-old female patient of Han Chinese ethnicity with neurofibromatosis type 1 (NF1). The line carries a heterozygous c.496_497delGT mutation in the NF1 gene, resulting in a p.Val166LeufsTer7 frameshift variant.","['Cell line identity', 'Genetics']",NA,NA,NA,https://www.doi.org/10.1016/j.scr.2020.101842,0361ea84-13bb-4f90-8f24-bbd01a81801e
0361ea84-13bb-4f90-8f24-bbd01a81801e,SMBCi003-B,['Cell Line'],"The SMBCi003-B iPSC line exhibited pluripotency by expressing stem cell markers like NANOG, OCT4, TRA-1-60, TRA-1-81, and alkaline phosphatase activity.","['Pluripotency', 'Marker expression']",NA,NA,NA,https://www.doi.org/10.1016/j.scr.2020.101842,0361ea84-13bb-4f90-8f24-bbd01a81801e
0361ea84-13bb-4f90-8f24-bbd01a81801e,SMBCi003-B,['Cell Line'],"The SMBCi003-B line was able to differentiate into all three germ layers in vitro, demonstrating its trilineage differentiation potential.",['Differentiation potential'],NA,NA,NA,https://www.doi.org/10.1016/j.scr.2020.101842,0361ea84-13bb-4f90-8f24-bbd01a81801e
