resourceId,resourceName,resourceType,observationText,observationType,observationPhase,observationTime,observationTimeUnits,doi
02aba952-5860-4bd9-bfb2-ff796b22bf48,Nf1 heterozygous mutant minipig,['Animal Model'],"The Nf1 heterozygous mutant minipigs developed cafe au lait macules (CALMs) from birth, one of the most common phenotypes in NF1 patients.",['Skin abnormalities'],prenatal,,,https://doi.org/10.1038/s42003-018-0163-y
02aba952-5860-4bd9-bfb2-ff796b22bf48,Nf1 heterozygous mutant minipig,['Animal Model'],"A subset of the Nf1 heterozygous mutant minipigs developed neurofibromas around 4 months of age, corresponding to puberty.",['Tumor incidence'],juvenile,4,months,https://doi.org/10.1038/s42003-018-0163-y
02aba952-5860-4bd9-bfb2-ff796b22bf48,Nf1 heterozygous mutant minipig,['Animal Model'],"One out of seven Nf1 heterozygous mutant minipigs developed optic pathway glioma (OPG), exhibiting a mass involving the optic chiasm.","['Tumor incidence', 'Neurological symptoms']",,,,https://doi.org/10.1038/s42003-018-0163-y
02aba952-5860-4bd9-bfb2-ff796b22bf48,Nf1 heterozygous mutant minipig,['Animal Model'],"Melanocytes and Schwann cells from the Nf1 heterozygous mutant minipigs underwent spontaneous loss of heterozygosity (LOH), a critical step in disease progression also observed in NF1 patients.",['Genetics'],,,,https://doi.org/10.1038/s42003-018-0163-y
02aba952-5860-4bd9-bfb2-ff796b22bf48,Nf1 heterozygous mutant minipig,['Animal Model'],"The Nf1 heterozygous mutant minipigs exhibited variable expression of NF1 phenotypes, with the size and number of cafe au lait macules (CALMs) varying greatly between animals.","['Phenotypic variability', 'Skin abnormalities']",,,,https://doi.org/10.1038/s42003-018-0163-y
02aba952-5860-4bd9-bfb2-ff796b22bf48,Nf1 heterozygous mutant minipig,['Animal Model'],"The Nf1 heterozygous mutant minipigs reached puberty at around 5-6 months of age, similar to the timing of neurofibroma development in human NF1 patients.",['Developmental milestone'],juvenile,5,months,https://doi.org/10.1038/s42003-018-0163-y
02aba952-5860-4bd9-bfb2-ff796b22bf48,Nf1 heterozygous mutant minipig,['Animal Model'],"The Nf1 heterozygous mutant minipigs exhibited a lifespan of up to 15 years, allowing for longitudinal studies of NF1 disease features in both pediatric and adult populations.",['Lifespan'],,,,https://doi.org/10.1038/s42003-018-0163-y
02aba952-5860-4bd9-bfb2-ff796b22bf48,Nf1 heterozygous mutant minipig,['Animal Model'],"The Nf1 heterozygous mutant minipigs were dosed orally with a small-molecule inhibitor currently in clinical development for NF1, which led to a targeted reduction in Ras signaling.",['Pharmacological response'],,,,https://doi.org/10.1038/s42003-018-0163-y
02aba952-5860-4bd9-bfb2-ff796b22bf48,Nf1 heterozygous mutant minipig,['Animal Model'],"The Nf1 heterozygous mutant minipigs grew to a size of 180-220 pounds, roughly the size of an adult human, making them suitable for advanced imaging studies on human-sized instruments.",['Body size'],adult,,,https://doi.org/10.1038/s42003-018-0163-y
02aba952-5860-4bd9-bfb2-ff796b22bf48,Nf1 heterozygous mutant minipig,['Animal Model'],"The Nf1 heterozygous mutant minipigs exhibited germ line transmission of the mutant NF1 allele with Mendelian frequency, with no evidence of reduced fitness compared to wild-type littermates.","['Genetics', 'Reproductive fitness']",,,,https://doi.org/10.1038/s42003-018-0163-y
