resourceId,resourceName,resourceType,observationText,observationType,observationPhase,observationTime,observationTimeUnits,doi
055e78dc-b3d2-416b-a7f1-ac4de9d9ec2b,Calu-1,['Cell Line'],"The Calu-1 cell line was derived from a lung adenocarcinoma and exhibits characteristics of serous gland epithelial cells, including the ability to form tight junctions and secrete mucins.","['Cell line origin', 'Cell line characteristics']",,,,https://doi.org/10.1165/ajrcmb.22.6.3926
055e78dc-b3d2-416b-a7f1-ac4de9d9ec2b,Calu-1,['Cell Line'],Calu-1 cells express the cystic fibrosis transmembrane conductance regulator (CFTR) and have been used as an in vitro model to study CFTR function and cystic fibrosis.,['Cell line usage'],,,,https://doi.org/10.1165/ajrcmb.22.6.3926
055e78dc-b3d2-416b-a7f1-ac4de9d9ec2b,Calu-1,['Cell Line'],"Calu-1 cells are susceptible to infection by influenza viruses and have been utilized as a model system to study influenza virus entry, replication, and host cell responses.","['Cell line usage', 'Viral infection']",,,,https://doi.org/10.1128/JVI.01109-07
055e78dc-b3d2-416b-a7f1-ac4de9d9ec2b,Calu-1,['Cell Line'],"Calu-1 cells exhibit a high degree of differentiation and form polarized monolayers, making them a useful model for studying epithelial barrier function and drug transport across the airway epithelium.","['Cell line characteristics', 'Cell line usage']",,,,https://doi.org/10.1165/ajrcmb.22.6.3926
055e78dc-b3d2-416b-a7f1-ac4de9d9ec2b,Calu-1,['Cell Line'],"The Calu-1 cell line exhibits high levels of MET phosphorylation but does not have MET gene amplification or mutations, and is insensitive to the MET inhibitor PHA665752.","['Cell line characteristics', 'Drug response']",,,,https://doi.org/10.1002/humu.21028
055e78dc-b3d2-416b-a7f1-ac4de9d9ec2b,Calu-1,['Cell Line'],"The Calu-1 cell line forms tight junctions and secretes mucins when cultured at an air-liquid interface, mimicking the physiology of the respiratory epithelium.","['Cell line characteristics', 'Cell line usage']",,,,https://doi.org/10.1165/ajrcmb.22.6.3926
055e78dc-b3d2-416b-a7f1-ac4de9d9ec2b,Calu-1,['Cell Line'],The Calu-1 cell line exhibits resistance to the cytotoxic effects of influenza virus infection compared to other lung epithelial cell lines.,"['Viral infection', 'Cell line characteristics']",,,,https://doi.org/10.1128/JVI.01109-07
055e78dc-b3d2-416b-a7f1-ac4de9d9ec2b,Calu-1,['Cell Line'],"The Calu-1 cell line exhibits high levels of MET phosphorylation but does not have MET gene amplification or mutations, and is insensitive to the MET inhibitor PHA665752.","['Cell line characteristics', 'Drug response']",,,,https://doi.org/10.1002/humu.21028
055e78dc-b3d2-416b-a7f1-ac4de9d9ec2b,Calu-1,['Cell Line'],"The Calu-1 cell line forms tight junctions and secretes mucins when cultured at an air-liquid interface, mimicking the physiology of the respiratory epithelium.","['Cell line characteristics', 'Cell line usage']",,,,https://doi.org/10.1165/ajrcmb.22.6.3926
055e78dc-b3d2-416b-a7f1-ac4de9d9ec2b,Calu-1,['Cell Line'],The Calu-1 cell line exhibits resistance to the cytotoxic effects of influenza virus infection compared to other lung epithelial cell lines.,"['Viral infection', 'Cell line characteristics']",,,,https://doi.org/10.1128/JVI.01109-07
