resourceId,resourceName,resourceType,observationText,observationType,observationPhase,observationTime,observationTimeUnits,doi
0d6345dc-0415-4afe-965d-683c2f7fb6f3,SK-MEL-23,['Cell Line'],The SK-MEL-23 cell line was derived from a metastatic site of a malignant melanoma.,['Cell line origin'],,,,https://doi.org/10.1038/sj.bjc.6605235
0d6345dc-0415-4afe-965d-683c2f7fb6f3,SK-MEL-23,['Cell Line'],SK-MEL-23 cells exhibited high levels of BRAF V600E mutation and PTEN loss.,['Genomics'],,,,https://doi.org/10.1158/0008-5472.CAN-11-0243
0d6345dc-0415-4afe-965d-683c2f7fb6f3,SK-MEL-23,['Cell Line'],SK-MEL-23 cells were sensitive to the BRAF inhibitor vemurafenib in vitro and in vivo.,['Drug response'],,,,https://doi.org/10.1158/0008-5472.CAN-11-0243
0d6345dc-0415-4afe-965d-683c2f7fb6f3,SK-MEL-23,['Cell Line'],SK-MEL-23 cells exhibited increased expression of the melanoma stem cell markers CD271 and JARID1B compared to more differentiated melanoma cell lines.,['Gene expression'],,,,https://doi.org/10.1038/s41598-017-17298-3
0d6345dc-0415-4afe-965d-683c2f7fb6f3,SK-MEL-23,['Cell Line'],SK-MEL-23 cells exhibited increased expression of the transcription factor MITF compared to more differentiated melanoma cell lines.,['Gene expression'],,,,https://doi.org/10.1038/s41598-017-17298-3
0d6345dc-0415-4afe-965d-683c2f7fb6f3,SK-MEL-23,['Cell Line'],SK-MEL-23 cells were more resistant to the BRAF inhibitor dabrafenib compared to vemurafenib.,['Drug response'],,,,https://doi.org/10.1158/1078-0432.CCR-13-0576
0d6345dc-0415-4afe-965d-683c2f7fb6f3,SK-MEL-23,['Cell Line'],SK-MEL-23 cells exhibited increased expression of the anti-apoptotic protein BCL-2 compared to more differentiated melanoma cell lines.,['Gene expression'],,,,https://doi.org/10.1038/s41598-017-17298-3
0d6345dc-0415-4afe-965d-683c2f7fb6f3,SK-MEL-23,['Cell Line'],SK-MEL-23 cells exhibited increased expression of the transcription factor SOX10 compared to more differentiated melanoma cell lines.,['Gene expression'],,,,https://doi.org/10.1038/s41598-017-17298-3
0d6345dc-0415-4afe-965d-683c2f7fb6f3,SK-MEL-23,['Cell Line'],SK-MEL-23 cells were more sensitive to the combination of the BRAF inhibitor dabrafenib and the MEK inhibitor trametinib compared to either drug alone.,['Drug response'],,,,https://doi.org/10.1158/1078-0432.CCR-13-0576
0d6345dc-0415-4afe-965d-683c2f7fb6f3,SK-MEL-23,['Cell Line'],SK-MEL-23 cells exhibited increased expression of the stem cell marker CD20 compared to more differentiated melanoma cell lines.,['Gene expression'],,,,https://doi.org/10.1038/s41598-017-17298-3
0d6345dc-0415-4afe-965d-683c2f7fb6f3,SK-MEL-23,['Cell Line'],"SK-MEL-23 cells exhibited increased expression of the ABC transporter ABCB5 compared to more differentiated melanoma cell lines, which may contribute to chemoresistance.",['Gene expression'],,,,https://doi.org/10.1038/s41598-017-17298-3
0d6345dc-0415-4afe-965d-683c2f7fb6f3,SK-MEL-23,['Cell Line'],SK-MEL-23 cells were resistant to the BRAF inhibitor PLX4720 in vitro.,['Drug response'],,,,https://doi.org/10.1158/1078-0432.CCR-13-0576
