resourceId,resourceName,resourceType,observationText,observationType,observationPhase,observationTime,observationTimeUnits,doi
2934805f-67ef-41d9-af89-64a072c66642,Cnp-EGFR (Pten-het/C-EGFR),['Animal Model'],"The Cnp-EGFR (Pten-het/C-EGFR) mouse model develops neurofibroma-like phenotypes including nerve hypertrophy, mast cell accumulation, collagen deposition, disruption of axon-glial interactions, and hypoalgesia. Treatment with the EGFR inhibitor cetuximab for 2 weeks starting at birth normalized all these pathologies by 3 months of age.","['Tumor progression', 'Neurological symptoms', 'Histology', 'Behavior']",postnatal,2,weeks,https://doi.org/10.2353/ajpath.2006.050859
2934805f-67ef-41d9-af89-64a072c66642,Cnp-EGFR (Pten-het/C-EGFR),['Animal Model'],"In the Cnp-EGFR (Pten-het/C-EGFR) model, Schwann cells wrap fewer axons compared to wild-type, but this axon-Schwann cell interaction defect was reversed by early cetuximab treatment starting at birth for 2-6 weeks.",['Histology'],postnatal,2,weeks,https://doi.org/10.2353/ajpath.2006.050859
2934805f-67ef-41d9-af89-64a072c66642,Cnp-EGFR (Pten-het/C-EGFR),['Animal Model'],"In the Cnp-EGFR (Pten-het/C-EGFR) model, cetuximab treatment from birth to 6 weeks downregulated the aberrant expression of mast cell chemoattractants TGF-β, MCP-1, VEGF and BDNF, but not SCF.",['Molecular biology'],postnatal,6,weeks,https://doi.org/10.2353/ajpath.2006.050859
2934805f-67ef-41d9-af89-64a072c66642,Cnp-EGFR (Pten-het/C-EGFR),['Animal Model'],"In the Cnp-EGFR (Pten-het/C-EGFR) model, cetuximab treatment for 2 weeks starting at birth decreased EGFR phosphorylation in sciatic nerves and reduced the number of BrdU-labeled proliferating Schwann cells compared to untreated mice.","['Molecular biology', 'Cell proliferation']",postnatal,2,weeks,https://doi.org/10.2353/ajpath.2006.050859
2934805f-67ef-41d9-af89-64a072c66642,Cnp-EGFR (Pten-het/C-EGFR),['Animal Model'],"The Cnp-EGFR (Pten-het/C-EGFR) mouse model was generated by breeding transgenic mice carrying the Cnp regulatory elements driving EGFR expression in Schwann cells, a floxed Pten allele, and the Dhh-Cre recombinase to inactivate Pten specifically in Schwann cells.",['Genetics'],,,,https://doi.org/10.1155/2012/620834
2934805f-67ef-41d9-af89-64a072c66642,Cnp-EGFR (Pten-het/C-EGFR),['Animal Model'],"The Cnp-EGFR (Pten-het/C-EGFR) mouse model was generated by breeding transgenic mice carrying the Cnp regulatory elements driving EGFR expression in Schwann cells, a floxed Pten allele, and the Dhh-Cre recombinase to inactivate Pten specifically in Schwann cells.",['Genetics'],,,,https://doi.org/10.1155/2012/620834
2934805f-67ef-41d9-af89-64a072c66642,Cnp-EGFR (Pten-het/C-EGFR),['Animal Model'],"The Cnp-EGFR (Pten-het/C-EGFR) mouse model develops neurofibroma-like phenotypes including nerve hypertrophy, mast cell accumulation, collagen deposition, disruption of axon-glial interactions, and hypoalgesia.","['Tumor progression', 'Histology', 'Behavior']",,,,https://doi.org/10.2353/ajpath.2006.050859
2934805f-67ef-41d9-af89-64a072c66642,Cnp-EGFR (Pten-het/C-EGFR),['Animal Model'],"In the Cnp-EGFR (Pten-het/C-EGFR) model, Kaplan-Meier survival curves showed reduced survival of the experimental ΔPten/C-EGFR and Pten-het/C-EGFR cohorts compared to controls.",['Survival'],,,,https://doi.org/10.1155/2012/620834
2934805f-67ef-41d9-af89-64a072c66642,Cnp-EGFR (Pten-het/C-EGFR),['Animal Model'],"In the Cnp-EGFR (Pten-het/C-EGFR) model, cetuximab treatment from birth to 6 weeks did not significantly change the expression of the mast cell chemoattractant SCF, despite downregulating other chemoattractants like TGF-β, MCP-1, VEGF and BDNF.",['Molecular biology'],postnatal,6,weeks,https://doi.org/10.2353/ajpath.2006.050859
2934805f-67ef-41d9-af89-64a072c66642,Cnp-EGFR (Pten-het/C-EGFR),['Animal Model'],"In the Cnp-EGFR (Pten-het/C-EGFR) model, early cetuximab treatment from birth decreased aberrant collagen matrix staining in the nerves, as assessed by histology without quantification.",['Histology'],postnatal,,,https://doi.org/10.2353/ajpath.2006.050859
2934805f-67ef-41d9-af89-64a072c66642,Cnp-EGFR (Pten-het/C-EGFR),['Animal Model'],"In the Cnp-EGFR (Pten-het/C-EGFR) model, the authors identified a perinatal cell population expressing EGFR that was amplified in Nf1-/- perinatal nerve, suggesting a critical period exists for neurofibroma formation.",['Cell biology'],perinatal,,,https://doi.org/10.2353/ajpath.2006.050859
2934805f-67ef-41d9-af89-64a072c66642,Cnp-EGFR (Pten-het/C-EGFR),['Animal Model'],The Cnp-EGFR (Pten-het/C-EGFR) mouse model was generated on the FVB/N strain background after backcrossing for at least 6 generations.,['Genetics'],,,,https://doi.org/10.2353/ajpath.2006.050859
