resourceId,resourceName,resourceType,observationText,observationType,observationPhase,observationTime,observationTimeUnits,doi
4f433c0f-2c9b-41f7-9b04-ff32f524b55b,Spred1-/-,Animal Model,"Spred1-/- mice showed decreased learning and memory performance in the Morris water maze and visual-discrimination T-maze tasks, indicating deficits in hippocampus-dependent learning.","['Learning', 'Memory']",postnatal,,,https://doi.org/10.1523/JNEUROSCI.4698-08.2008
4f433c0f-2c9b-41f7-9b04-ff32f524b55b,Spred1-/-,Animal Model,"Electrophysiological recordings on brain slices from Spred1-/- mice identified defects in short- and long-term synaptic plasticity in the hippocampal CA1 region, including impaired long-term potentiation (LTP) and enhanced long-term depression (LTD).","['Synaptic plasticity', 'LTP', 'LTD']",postnatal,,,https://doi.org/10.1523/JNEUROSCI.4698-08.2008
4f433c0f-2c9b-41f7-9b04-ff32f524b55b,Spred1-/-,Animal Model,"Biochemical analysis after LTP induction showed increased ERK-phosphorylation in Spred1-/- hippocampal slices compared to wild-type, indicating hyperactivation of the Ras/ERK pathway.","['Biochemistry', 'Signaling pathway']",postnatal,,,https://doi.org/10.1523/JNEUROSCI.4698-08.2008
4f433c0f-2c9b-41f7-9b04-ff32f524b55b,Spred1-/-,Animal Model,"Spred1-/- mice exhibited normal basic neuromotor abilities, sensory functions, and acute pain responses compared to wild-type littermates.","['Neuromotor function', 'Sensory function', 'Pain response']",postnatal,,,https://doi.org/10.1523/JNEUROSCI.4698-08.2008
4f433c0f-2c9b-41f7-9b04-ff32f524b55b,Spred1-/-,Animal Model,"Spred1+/- heterozygous mice showed an intermediate level of performance between wild-type and Spred1-/- mice in the most difficult part of the T-maze visual discrimination task, suggesting potential mild deficits in hippocampus-dependent cognitive functions.","['Learning', 'Memory', 'Behavior']",postnatal,,,https://doi.org/10.1523/JNEUROSCI.4698-08.2008
4f433c0f-2c9b-41f7-9b04-ff32f524b55b,Spred1-/-,Animal Model,Golgi-Cox staining analysis did not reveal any significant differences in spine density or the number of proximal and distal dendrites of hippocampal granule cells between Spred1-/- and wild-type mice.,['Neuroanatomy'],postnatal,,,https://doi.org/10.1523/JNEUROSCI.4698-08.2008
4f433c0f-2c9b-41f7-9b04-ff32f524b55b,Spred1-/-,Animal Model,"During the Morris water maze acquisition trials, Spred1-/- mice displayed significantly longer distances to the target platform from day 2 onwards compared to wild-type littermates.","['Learning', 'Behavior']",postnatal,,,https://doi.org/10.1523/JNEUROSCI.4698-08.2008
4f433c0f-2c9b-41f7-9b04-ff32f524b55b,Spred1-/-,Animal Model,Spred1-/- mice exhibited more persistent thigmotaxic (wall-hugging) swimming behavior during the first and second weeks of Morris water maze acquisition compared to wild-type and heterozygous mice.,['Behavior'],postnatal,,,https://doi.org/10.1523/JNEUROSCI.4698-08.2008
4f433c0f-2c9b-41f7-9b04-ff32f524b55b,Spred1-/-,Animal Model,"During the probe trials of the Morris water maze, Spred1-/- mice spent less time searching in the target quadrant compared to wild-type and heterozygous mice, indicating impaired spatial memory performance.","['Memory', 'Behavior']",postnatal,,,https://doi.org/10.1523/JNEUROSCI.4698-08.2008
4f433c0f-2c9b-41f7-9b04-ff32f524b55b,Spred1-/-,Animal Model,"Spred1-/- mice showed a disequilibrium between long-term potentiation (LTP) and long-term depression (LTD) in the hippocampal CA1 region, with impaired LTP and enhanced LTD compared to wild-type mice.","['Synaptic plasticity', 'LTP', 'LTD']",postnatal,,,https://doi.org/10.1523/JNEUROSCI.4698-08.2008
4f433c0f-2c9b-41f7-9b04-ff32f524b55b,Spred1-/-,Animal Model,Input-output curves from electrophysiological recordings showed progressively lower field excitatory postsynaptic potential (fEPSP) slopes at stronger stimulation intensities in hippocampal slices from Spred1-/- mice compared to wild-type.,"['Electrophysiology', 'Synaptic transmission']",postnatal,,,https://doi.org/10.1523/JNEUROSCI.4698-08.2008
4f433c0f-2c9b-41f7-9b04-ff32f524b55b,Spred1-/-,Animal Model,"Paired-pulse facilitation (PPF) values, calculated as the ratio of the second to the first fEPSP slope, showed increased facilitation in Spred1-/- mice at 10 and 20 ms interpulse intervals compared to wild-type.","['Electrophysiology', 'Synaptic transmission']",postnatal,,,https://doi.org/10.1523/JNEUROSCI.4698-08.2008
