resourceId,resourceName,resourceType,observationText,observationType,observationPhase,observationTime,observationTimeUnits,doi
96f2ab08-2c90-4ef9-9d56-1705ee49cecc,MUG-Mel1 clone D5,['Cell Line'],"The MUG-Mel1 clone D5 cell line was isolated from the parental MUG-Mel1 cell line and exhibited a round and flat growth morphology, in contrast to the spindle-shaped morphology of clone C8.",['Cell morphology'],,,,https://doi.org/10.1038/s41598-019-40570-1
96f2ab08-2c90-4ef9-9d56-1705ee49cecc,MUG-Mel1 clone D5,['Cell Line'],"The MUG-Mel1 clone D5 cell line showed higher expression of the stem cell markers CD271 and SOX-2 compared to the parental MUG-Mel1 cell line and clone C8, indicating a more stem cell-like character.","['Gene expression', 'Stemness']",,,,https://doi.org/10.1038/s41598-019-40570-1
96f2ab08-2c90-4ef9-9d56-1705ee49cecc,MUG-Mel1 clone D5,['Cell Line'],"The MUG-Mel1 clone D5 cell line exhibited a higher colony-forming ability in soft agar assays compared to the parental MUG-Mel1 cell line and clone C8, indicating increased anchorage-independent growth potential.","['Colony formation', 'Tumorigenicity']",,,,https://doi.org/10.1038/s41598-019-40570-1
96f2ab08-2c90-4ef9-9d56-1705ee49cecc,MUG-Mel1 clone D5,['Cell Line'],The MUG-Mel1 clone D5 cell line showed a higher migration potential compared to the parental MUG-Mel1 cell line and clone C8 in migration assays.,['Cell migration'],,,,https://doi.org/10.1038/s41598-019-40570-1
96f2ab08-2c90-4ef9-9d56-1705ee49cecc,MUG-Mel1 clone D5,['Cell Line'],"The MUG-Mel1 clone D5 cell line exhibited a slower doubling time compared to the parental MUG-Mel1 cell line, but faster than clone C8.","['Cell growth', 'Proliferation']",,,,https://doi.org/10.1038/s41598-019-40570-1
96f2ab08-2c90-4ef9-9d56-1705ee49cecc,MUG-Mel1 clone D5,['Cell Line'],"The MUG-Mel1 clone D5 cell line showed a higher tumorigenic potential compared to clone C8 when injected into zebrafish, forming multicellular foci.","['Tumorigenicity', 'In vivo model']",,,,https://doi.org/10.1038/s41598-019-40570-1
96f2ab08-2c90-4ef9-9d56-1705ee49cecc,MUG-Mel1 clone D5,['Cell Line'],"The MUG-Mel1 clone D5 cell line exhibited distinct lipid profiles compared to the parental MUG-Mel1 cell line and clone C8, particularly in phosphatidylglycerol, sphingomyelin, and triacylglycerol species.",['Lipidomics'],,,,https://doi.org/10.1038/s41598-019-40570-1
96f2ab08-2c90-4ef9-9d56-1705ee49cecc,MUG-Mel1 clone D5,['Cell Line'],"The MUG-Mel1 clone D5 cell line showed distinct ultrastructural features compared to clone C8, including enlarged mitochondria, dilated rough endoplasmic reticulum, and large mitochondria in close connection with lipid droplets.",['Cell ultrastructure'],,,,https://doi.org/10.1038/s41598-019-40570-1
96f2ab08-2c90-4ef9-9d56-1705ee49cecc,MUG-Mel1 clone D5,['Cell Line'],"The MUG-Mel1 clone D5 cell line was unable to form tumors in various mouse models, including nude mice, NOD-SCID mice, and NSG mice, when injected subcutaneously or in organotropic models.","['In vivo model', 'Tumorigenicity']",,,,https://doi.org/10.1038/s41598-019-40570-1
96f2ab08-2c90-4ef9-9d56-1705ee49cecc,MUG-Mel1 clone D5,['Cell Line'],"The MUG-Mel1 clone D5 cell line exhibited a higher resistance to the peptide R-DIM-P-LF11-322 compared to the A375 melanoma cell line, with a lower percentage of cell killing at 20 μM concentration.",['Drug response'],,,,https://doi.org/10.1038/s41598-019-40570-1
