resourceId,resourceName,resourceType,observationText,observationType,observationPhase,observationTime,observationTimeUnits,doi
aaf6e2b6-2e88-4ed1-8bfc-9b803ba2d718,Cx3cr1+/gfp,['Animal Model'],"The Cx3cr1+/gfp mouse model expresses GFP in microglia cells that express the CX3CR1 receptor, allowing for visualization and identification of microglia in various tissues like the optic nerve, brainstem, and retina.","['Genetic marker', 'Microglia visualization']",,,,https://www.doi.org/10.1002/ana.23813
aaf6e2b6-2e88-4ed1-8bfc-9b803ba2d718,Cx3cr1+/gfp,['Animal Model'],"In the Nf1+/-GFAPCKO-CX3CR1 mouse model (which combines the Nf1+/-GFAPCKO and Cx3cr1+/gfp models), there is a 52% reduction in the percentage of CX3CR1+ cells in the optic nerve compared to the Nf1+/-GFAPCKO model at 3 months of age.",['Microglia quantification'],juvenile,3,months,https://www.doi.org/10.1002/ana.23813
aaf6e2b6-2e88-4ed1-8bfc-9b803ba2d718,Cx3cr1+/gfp,['Animal Model'],"The Nf1+/-GFAPCKO-CX3CR1 mice exhibit reduced optic nerve volume, proliferation, and microglia content compared to the Nf1+/-GFAPCKO mice at 3 months of age, with no evidence of optic glioma formation, suggesting that CX3CR1+ microglia are critical for optic gliomagenesis.","['Tumor incidence', 'Tumor growth', 'Microglia quantification']",juvenile,3,months,https://www.doi.org/10.1002/ana.23813
aaf6e2b6-2e88-4ed1-8bfc-9b803ba2d718,Cx3cr1+/gfp,['Animal Model'],"At 4 months of age, the Nf1+/-GFAPCKO-CX3CR1 mice showed optic nerve volumes, proliferation, and microglia content similar to the Nf1+/-GFAPCKO mice, indicating that the reduction in CX3CR1 expression delays but does not prevent optic glioma formation.","['Tumor incidence', 'Tumor growth', 'Microglia quantification']",adult,4,months,https://www.doi.org/10.1002/ana.23813
aaf6e2b6-2e88-4ed1-8bfc-9b803ba2d718,Cx3cr1+/gfp,['Animal Model'],"Flow cytometry analysis showed that nearly 100% of monocytes in the wild-type optic nerves and brainstem were double-positive for CD11b and CX3CR1 expression, indicating that CX3CR1 is expressed by microglia in these tissues.","['Microglia marker', 'Flow cytometry']",,,,https://www.doi.org/10.1002/ana.23813
aaf6e2b6-2e88-4ed1-8bfc-9b803ba2d718,Cx3cr1+/gfp,['Animal Model'],"Immunofluorescence analysis using CX3CR1 and Iba1 (microglia marker) antibodies confirmed that GFP is expressed by microglia in the optic nerves of Cx3cr1+/gfp mice, while GFAP-expressing astrocytes and retinal ganglion cells lack GFP expression.","['Microglia marker', 'Immunofluorescence']",,,,https://www.doi.org/10.1002/ana.23813
aaf6e2b6-2e88-4ed1-8bfc-9b803ba2d718,Cx3cr1+/gfp,['Animal Model'],"In the Nf1+/-GFAPCKO-CX3CR1 mice at 6 weeks of age (before obvious glioma development), there was a 39% reduction in the percentage of proliferating (Ki67+) cells and a 33% reduction in the percentage of Iba1+ microglia compared to the Nf1+/-GFAPCKO mice.","['Proliferation', 'Microglia quantification']",juvenile,1.5,months,https://www.doi.org/10.1002/ana.23813
aaf6e2b6-2e88-4ed1-8bfc-9b803ba2d718,Cx3cr1+/gfp,['Animal Model'],"Retinal ganglion cell death (TUNEL+ cells) in the Nf1+/-GFAPCKO-CX3CR1 mice was not significantly different from the Nf1+/-GFAPCKO mice at any age, suggesting that the reduction in CX3CR1 expression specifically affects optic glioma formation but not retinal ganglion cell survival.","['Cell death', 'Retinal ganglion cells']",,,,https://www.doi.org/10.1002/ana.23813
aaf6e2b6-2e88-4ed1-8bfc-9b803ba2d718,Cx3cr1+/gfp,['Animal Model'],"The Cx3cr1+/gfp mouse model was generated by inserting the green fluorescent protein (GFP) gene into one copy of the Cx3cr1 gene, which encodes the CX3CR1 receptor. This genetic modification allows for the visualization of CX3CR1-expressing cells through GFP expression.","['Genetic modification', 'Microglia visualization']",,,,https://www.doi.org/10.1002/ana.23813
aaf6e2b6-2e88-4ed1-8bfc-9b803ba2d718,Cx3cr1+/gfp,['Animal Model'],"No reduction in optic nerve proliferation or microglia percentage was observed following targeted reduction of CX3CR1 expression in 3-month-old wild-type or Nf1+/- mice, suggesting that the effects of CX3CR1 reduction on these parameters are specific to the Nf1+/-GFAPCKO mouse model of optic glioma.","['Proliferation', 'Microglia quantification']",juvenile,3,months,https://www.doi.org/10.1002/ana.23813
aaf6e2b6-2e88-4ed1-8bfc-9b803ba2d718,Cx3cr1+/gfp,['Animal Model'],"CX3CL1, the ligand for the CX3CR1 receptor, is found in abundant levels in the optic nerve and retina of both wild-type and Nf1+/-GFAPCKO mice, indicating the presence of the CX3CL1/CX3CR1 signaling axis in these tissues.",['Signaling pathway'],,,,https://www.doi.org/10.1002/ana.23813
