resourceId,resourceName,resourceType,observationText,observationType,observationPhase,observationTime,observationTimeUnits,doi
b9cf037b-1743-4eef-88ff-8a80659323eb,Nf1a+/-; Nf1b-/-; p53m/m zebrafish,['Animal Model'],"At 6 days post fertilization, embryos with mutant PDGFRA transgene had approximately twice the number of oligodendrocyte progenitor cells in the spinal cord compared to control, in the nf1a+/+; nf1b-/-; p53m/m background.","['Cellular development', 'Neurological phenotype']",embryonic,6,days,https://www.doi.org/10.1038/onc.2016.269
b9cf037b-1743-4eef-88ff-8a80659323eb,Nf1a+/-; Nf1b-/-; p53m/m zebrafish,['Animal Model'],"The nf1a+/-; nf1b-/-; p53m/m zebrafish exhibited decreased lateral stripe melanophores, similar to previous reports.",['Pigmentation defect'],embryonic,6,days,https://www.doi.org/10.1038/onc.2016.269
b9cf037b-1743-4eef-88ff-8a80659323eb,Nf1a+/-; Nf1b-/-; p53m/m zebrafish,['Animal Model'],Both wild-type and constitutively activated mutant PDGFRA transgenes accelerated malignant peripheral nerve sheath tumor (MPNST) development and increased tumor penetrance in nf1a+/-; nf1b-/-; p53m/m zebrafish.,"['Tumor incidence', 'Tumor progression']",adult,,,https://www.doi.org/10.1038/onc.2016.269
b9cf037b-1743-4eef-88ff-8a80659323eb,Nf1a+/-; Nf1b-/-; p53m/m zebrafish,['Animal Model'],"The nf1a+/-; nf1b-/-; p53m/m zebrafish developed tumors in the brain, eye, gill, abdomen and trunk, with brain tumors exhibiting features of diffuse high-grade gliomas and other tumors resembling malignant peripheral nerve sheath tumors (MPNSTs).","['Tumor location', 'Tumor histology']",adult,,,https://doi.org/10.1242/dmm.009779
b9cf037b-1743-4eef-88ff-8a80659323eb,Nf1a+/-; Nf1b-/-; p53m/m zebrafish,['Animal Model'],"The nf1a+/-; nf1b-/-; p53m/m zebrafish began developing tumors at 31 weeks post fertilization with high penetrance, while nf1a+/+; nf1b-/-; p53m/m fish rarely developed tumors until 44 weeks.","['Tumor incidence', 'Tumor progression']",adult,31,weeks,https://doi.org/10.1242/dmm.009779
b9cf037b-1743-4eef-88ff-8a80659323eb,Nf1a+/-; Nf1b-/-; p53m/m zebrafish,['Animal Model'],"Zebrafish lacking both nf1a and nf1b exhibited early larval lethality, suggesting functional redundancy between the two genes.","['Survival', 'Developmental defect']",embryonic,,,https://doi.org/10.1242/dmm.009779
b9cf037b-1743-4eef-88ff-8a80659323eb,Nf1a+/-; Nf1b-/-; p53m/m zebrafish,['Animal Model'],The nf1a+/-; nf1b-/-; p53m/m zebrafish exhibited hyperactivation of Ras signaling in the spinal cord.,['Signaling pathway'],embryonic,,,https://doi.org/10.1242/dmm.009779
b9cf037b-1743-4eef-88ff-8a80659323eb,Nf1a+/-; Nf1b-/-; p53m/m zebrafish,['Animal Model'],The nf1a+/-; nf1b-/-; p53m/m zebrafish exhibited valvular insufficiency and defects in learning and behavior.,"['Cardiovascular phenotype', 'Neurological phenotype', 'Behavioral phenotype']",,,,https://doi.org/10.1242/dmm.009779
b9cf037b-1743-4eef-88ff-8a80659323eb,Nf1a+/-; Nf1b-/-; p53m/m zebrafish,['Animal Model'],The nf1a+/-; nf1b-/-; p53m/m zebrafish exhibited irregularities in the myelin sheaths surrounding neuronal axons in the central nervous system.,"['Neurological phenotype', 'Myelination defect']",embryonic,,,https://doi.org/10.1242/dmm.009779
b9cf037b-1743-4eef-88ff-8a80659323eb,Nf1a+/-; Nf1b-/-; p53m/m zebrafish,['Animal Model'],The nf1a+/-; nf1b-/-; p53m/m zebrafish exhibited hyperplasia and aberrant differentiation of oligodendrocyte progenitor cells and Schwann cells in the nervous system.,"['Cellular development', 'Neurological phenotype']",embryonic,,,https://doi.org/10.1242/dmm.009779
