resourceId,resourceName,resourceType,observationText,observationType,observationPhase,observationTime,observationTimeUnits,doi
efe31e45-2075-4b41-a06f-a1d5935622fa,Capan-1,['Cell Line'],"The Capan-1 cell line was derived from a liver metastasis of a 40-year-old male with pancreatic adenocarcinoma, and in athymic mice it produced tumors that were morphologically and biochemically similar to the original tumor.","['Cell line origin', 'Tumor growth']",,,,https://doi.org/10.1097/MPA.0b013e3181c15963
efe31e45-2075-4b41-a06f-a1d5935622fa,Capan-1,['Cell Line'],"Capan-1 possesses a hypotriploid genome with 36 defined structural rearrangements distributed across the entire genome, likely due to the BRCA2 c.6174delT mutation causing a truncated, dysfunctional BRCA2 protein.","['Genomics', 'Mutation']",,,,https://doi.org/10.1371/journal.pone.0021639
efe31e45-2075-4b41-a06f-a1d5935622fa,Capan-1,['Cell Line'],"The most common base substitutions observed in the Capan-1 genome were C>T transitions, which is typical for many cancers.",['Genomics'],,,,https://doi.org/10.1371/journal.pone.0021639
efe31e45-2075-4b41-a06f-a1d5935622fa,Capan-1,['Cell Line'],Capan-1 was predicted to belong to the classical subtype of pancreatic cancer based on its mucin production and gene expression profile.,['Molecular subtype'],,,,https://doi.org/10.1038/s41467-019-11415-2
efe31e45-2075-4b41-a06f-a1d5935622fa,Capan-1,['Cell Line'],Capan-1 exhibited gains in genomic regions containing the PDGFRA and KIT receptor genes.,['Genomics'],,,,https://doi.org/10.1016/j.isci.2023.106096
efe31e45-2075-4b41-a06f-a1d5935622fa,Capan-1,['Cell Line'],"Capan-1 was found to have novel variants in genes related to apoptosis (DCC), DNA damage response (ATM), GTPase signaling (SMAP2), and Wnt signaling (FZD10), in addition to previously known mutations in KRAS and SMAD4.","['Genomics', 'Mutation']",,,,https://doi.org/10.1371/journal.pone.0021639
efe31e45-2075-4b41-a06f-a1d5935622fa,Capan-1,['Cell Line'],"When injected intraperitoneally into SCID mice, Capan-1 cells were able to consistently produce primary tumors in 100% of the mice after one week.","['Tumor growth', 'In vivo model']",,,,https://doi.org/10.1097/MPA.0b013e3181c15963
efe31e45-2075-4b41-a06f-a1d5935622fa,Capan-1,['Cell Line'],"Capan-1 was found to have inactivating mutations in the CDKN2A gene, which is a known tumor suppressor frequently mutated in pancreatic cancer.","['Genomics', 'Mutation']",,,,https://doi.org/10.1016/j.isci.2023.106096
efe31e45-2075-4b41-a06f-a1d5935622fa,Capan-1,['Cell Line'],"Capan-1 exhibited relatively high levels of pro-angiogenic factors compared to other pancreatic cancer cell lines like AsPC-1 and MIA PaCa-2, suggesting a high angiogenic potential.","['Angiogenesis', 'Cell properties']",,,,https://doi.org/10.1097/MPA.0b013e3181c15963
efe31e45-2075-4b41-a06f-a1d5935622fa,Capan-1,['Cell Line'],Capan-1 was found to have a higher invasive ability compared to other pancreatic cancer cell lines like MIA PaCa-2 and PANC-1 when tested on Matrigel substrate.,"['Cell properties', 'Invasion']",,,,https://doi.org/10.1097/MPA.0b013e3181c15963
